Date,Temperature,Humidity,Wind_Speed,PM25,PM10,NO2,SO2,AQI
2024-01-01,19.2,43.2,6.6,116.7,175.9,50.2,24.5,286
2024-01-02,18.0,37.2,3.3,141.3,237.2,50.7,24.5,329
2024-01-03,19.6,44.0,6.4,151.3,239.2,49.9,21.8,323
2024-01-04,21.5,33.3,4.5,119.3,189.9,43.3,24.3,290
2024-01-05,18.0,46.8,5.3,132.5,213.5,47.9,21.8,308
2024-01-06,18.1,43.9,8.8,117.6,192.0,48.7,22.2,294
2024-01-07,21.8,42.7,12.1,122.5,194.2,46.6,21.2,310
2024-01-08,20.3,46.2,8.2,123.0,199.9,35.9,18.8,299
2024-01-09,17.9,49.5,3.5,122.3,219.3,46.8,23.4,293
2024-01-10,20.0,46.1,8.4,124.9,214.6,56.7,24.6,307
2024-01-11,18.1,31.7,10.7,133.3,226.4,43.5,24.2,303
2024-01-12,18.2,34.4,5.3,120.1,185.4,41.4,25.0,297
2024-01-13,19.7,37.6,6.7,125.7,187.8,46.5,23.3,303
2024-01-14,15.5,40.8,7.2,103.5,179.9,45.9,20.6,244
2024-01-15,16.0,43.1,4.8,229.0,379.5,79.9,39.5,387
2024-01-16,18.4,36.9,9.2,235.3,398.6,67.3,32.7,385
2024-01-17,17.6,41.3,6.9,247.3,386.6,76.9,33.9,396
2024-01-18,20.3,36.6,8.5,231.9,367.6,75.7,33.5,385
2024-01-19,18.0,37.2,4.6,229.3,342.3,71.6,39.4,384
2024-01-20,17.1,33.2,6.0,228.6,359.8,73.6,38.8,383
2024-01-21,23.0,35.6,9.5,208.9,349.2,76.6,37.2,370
2024-01-22,19.7,33.4,6.3,230.4,361.6,75.3,38.7,389
2024-01-23,20.4,35.2,12.6,221.6,364.2,64.7,32.6,380
2024-01-24,17.5,45.3,6.3,215.7,342.3,74.0,36.0,375
2024-01-25,19.4,35.3,8.2,210.5,341.7,69.0,34.3,361
2024-01-26,20.8,53.2,10.3,212.4,322.6,69.2,36.9,371
2024-01-27,18.4,42.5,3.3,213.6,343.1,68.6,33.8,374
2024-01-28,21.6,40.9,2.3,216.5,301.5,66.9,32.7,377
2024-01-29,19.7,35.7,3.1,234.6,372.5,73.0,35.2,384
2024-01-30,20.5,43.5,11.5,196.1,289.2,66.0,35.8,355
2024-01-31,20.0,37.1,6.1,200.5,338.9,60.2,30.9,359
2024-02-01,25.0,40.6,15.5,181.0,301.3,63.2,32.4,349
2024-02-02,21.4,52.9,6.2,206.3,337.1,65.4,29.1,371
2024-02-03,19.4,39.6,8.4,191.0,328.4,70.0,24.4,352
2024-02-04,23.3,45.9,12.6,177.5,269.7,66.2,32.2,348
2024-02-05,19.3,36.6,14.0,192.3,333.9,58.3,33.1,356
2024-02-06,22.3,40.0,14.2,190.2,318.3,74.3,31.7,353
2024-02-07,18.1,49.1,11.7,171.0,270.1,62.5,24.7,338
2024-02-08,19.5,37.2,11.2,156.3,267.1,66.8,29.2,331
2024-02-09,22.7,49.4,10.0,184.1,277.9,59.0,23.2,350
2024-02-10,23.9,44.0,10.6,163.4,249.0,61.7,33.6,344
2024-02-11,22.9,37.7,6.7,181.2,280.7,62.5,25.9,342
2024-02-12,22.5,43.8,5.9,151.8,235.0,63.7,32.6,327
2024-02-13,22.2,45.5,8.4,173.8,262.2,62.2,31.3,338
2024-02-14,20.0,43.9,8.0,150.5,259.2,60.5,25.4,319
2024-02-15,21.7,33.0,7.2,168.2,265.2,53.9,24.3,337
2024-02-16,22.3,37.3,10.7,152.9,249.9,51.8,28.4,325
2024-02-17,25.5,39.9,11.6,139.0,213.9,55.6,24.5,329
2024-02-18,24.2,40.8,9.0,145.4,205.3,57.9,26.9,318
2024-02-19,20.1,44.4,13.3,147.1,239.3,51.4,24.8,315
2024-02-20,24.4,42.3,5.5,150.0,211.4,57.1,20.6,324
2024-02-21,23.1,34.9,8.4,147.6,235.1,58.3,18.8,310
2024-02-22,22.7,43.6,6.9,160.9,236.8,45.8,25.9,330
2024-02-23,25.4,44.9,3.5,127.7,234.1,45.5,23.1,305
2024-02-24,26.4,44.8,8.9,148.5,251.2,48.2,22.8,325
2024-02-25,26.3,47.6,8.9,130.6,210.5,49.8,26.2,313
2024-02-26,22.9,46.5,13.9,110.3,195.4,44.9,27.3,265
2024-02-27,24.1,44.8,11.3,107.0,158.6,53.6,22.6,256
2024-02-28,25.5,42.3,6.4,123.0,205.0,48.2,22.0,298
2024-02-29,27.0,34.5,15.1,118.3,192.3,45.6,24.2,288
2024-03-01,24.2,45.2,13.3,107.8,176.5,37.6,18.3,261
2024-03-02,24.9,44.2,11.4,124.3,218.0,37.5,22.7,296
2024-03-03,23.2,44.7,9.1,95.5,163.9,44.8,23.4,216
2024-03-04,23.2,37.2,7.0,110.5,181.1,32.1,23.4,263
2024-03-05,27.3,38.4,8.8,92.7,123.6,47.2,15.2,211
2024-03-06,28.5,49.2,13.3,99.6,145.0,40.7,18.5,241
2024-03-07,25.8,44.0,15.7,98.7,156.0,57.1,17.8,222
2024-03-08,28.1,47.8,14.8,84.5,136.6,51.8,20.4,172
2024-03-09,27.0,44.8,8.8,69.3,93.9,38.7,21.2,130
2024-03-10,25.1,45.0,7.0,97.6,192.3,38.5,24.0,225
2024-03-11,27.2,49.8,10.8,91.8,169.7,43.4,17.7,207
2024-03-12,29.7,42.7,5.2,97.6,165.3,46.4,17.4,223
2024-03-13,26.7,46.0,11.5,94.1,151.7,29.1,22.1,212
2024-03-14,30.0,43.5,10.2,70.8,110.1,27.8,19.2,137
2024-03-15,21.8,43.8,9.3,87.4,125.6,33.0,21.9,196
2024-03-16,28.8,44.7,6.0,95.4,153.7,38.5,18.7,208
2024-03-17,27.5,47.6,12.4,53.9,90.2,37.6,14.1,88
2024-03-18,26.8,44.4,9.4,77.4,105.3,39.9,13.3,159
2024-03-19,27.8,53.3,7.5,69.9,116.9,28.1,12.4,128
2024-03-20,23.7,42.8,2.5,79.7,125.2,22.0,18.8,174
2024-03-21,27.4,46.6,11.1,69.1,82.0,37.4,20.1,127
2024-03-22,28.7,45.6,16.6,50.7,68.2,28.5,21.9,84
2024-03-23,31.0,55.3,16.4,47.3,69.5,22.1,18.6,81
2024-03-24,27.2,49.4,10.1,62.0,127.6,32.4,19.3,103
2024-03-25,26.7,53.8,9.8,49.6,87.7,35.2,13.9,73
2024-03-26,27.5,41.5,13.1,42.9,48.7,30.2,12.0,69
2024-03-27,30.4,50.6,8.7,65.4,112.0,28.1,17.8,123
2024-03-28,29.4,54.0,12.7,39.5,40.0,29.2,16.3,64
2024-03-29,27.8,50.2,14.2,53.9,102.5,27.8,15.1,85
2024-03-30,30.0,55.5,15.7,48.1,69.9,22.5,15.8,84
2024-03-31,29.3,47.8,11.8,30.6,47.6,25.3,15.4,49
2024-04-01,31.1,57.8,11.6,40.0,83.9,31.1,18.1,64
2024-04-02,27.9,62.5,9.6,60.2,77.0,29.8,18.0,101
2024-04-03,28.8,49.5,9.9,36.8,37.9,28.7,15.6,65
2024-04-04,28.7,49.4,11.8,37.8,51.7,22.5,16.3,74
2024-04-05,26.7,59.2,13.6,43.0,84.3,26.3,15.1,75
2024-04-06,30.4,60.2,15.3,42.4,45.0,16.0,12.1,76
2024-04-07,30.4,50.0,10.3,38.4,20.0,27.5,15.6,61
2024-04-08,30.0,50.8,17.2,23.4,30.6,33.4,9.0,33
2024-04-09,29.6,51.8,12.0,50.3,88.7,18.7,16.2,84
2024-04-10,27.4,46.9,12.9,51.1,99.8,22.8,9.3,85
2024-04-11,29.5,49.3,10.8,45.6,66.0,27.1,13.6,70
2024-04-12,29.7,49.2,5.8,43.1,62.8,31.5,10.1,70
2024-04-13,28.9,50.7,15.8,18.2,46.4,22.8,14.2,32
2024-04-14,30.3,54.7,15.5,17.6,20.0,21.3,12.3,31
2024-04-15,31.5,56.4,12.5,34.7,49.7,14.7,7.5,60
2024-04-16,34.6,63.3,13.6,31.1,52.6,24.9,13.4,53
2024-04-17,31.2,50.9,15.1,37.9,67.5,34.3,10.3,60
2024-04-18,31.5,61.2,8.9,38.9,54.5,25.3,14.6,62
2024-04-19,30.9,55.5,12.1,11.8,20.0,23.6,11.9,15
2024-04-20,27.3,56.7,16.2,30.5,20.0,25.2,13.0,59
2024-04-21,31.2,60.6,10.1,18.4,20.0,23.3,8.8,30
2024-04-22,31.4,52.0,14.8,16.8,33.7,19.2,9.8,26
2024-04-23,36.3,59.9,9.9,29.8,33.0,27.2,10.2,45
2024-04-24,31.1,59.1,15.5,38.3,62.2,24.0,14.0,78
2024-04-25,32.2,61.1,14.1,51.0,88.3,22.8,16.4,79
2024-04-26,31.6,60.4,9.4,32.4,46.7,17.7,8.9,51
2024-04-27,29.4,71.6,17.8,11.4,20.7,29.0,14.5,20
2024-04-28,34.1,56.5,12.2,26.4,27.9,25.7,4.7,47
2024-04-29,33.4,57.3,12.0,29.7,44.4,19.5,7.5,54
2024-04-30,33.5,57.2,15.1,12.5,29.1,27.1,8.2,29
2024-05-01,30.2,57.9,18.1,28.8,48.5,19.5,6.9,50
2024-05-02,34.9,57.8,11.6,22.4,27.0,18.0,6.2,31
2024-05-03,29.3,67.3,14.9,19.7,34.8,18.0,12.1,31
2024-05-04,33.4,68.8,16.1,19.2,41.4,12.8,10.2,33
2024-05-05,36.6,59.2,17.0,15.1,20.0,23.9,11.9,35
2024-05-06,30.3,58.2,15.5,21.1,51.2,12.3,12.8,28
2024-05-07,31.2,65.1,13.9,10.0,20.0,15.3,11.5,22
2024-05-08,32.6,60.3,12.6,10.8,23.7,11.0,12.6,18
2024-05-09,31.5,66.6,15.4,10.0,34.0,20.8,10.4,20
2024-05-10,29.4,64.8,12.0,21.1,20.0,20.4,7.0,34
2024-05-11,32.7,56.5,6.5,32.4,41.2,19.5,13.7,49
2024-05-12,30.5,72.2,16.7,13.8,20.0,15.8,8.8,26
2024-05-13,33.6,73.8,18.1,23.5,25.8,15.1,7.7,42
2024-05-14,30.9,62.0,8.4,21.0,59.7,23.2,9.9,39
2024-05-15,35.8,63.5,12.5,21.4,21.4,18.1,7.7,35
2024-05-16,31.2,67.2,17.5,10.0,20.0,22.4,9.2,15
2024-05-17,32.1,67.8,21.8,10.0,20.0,16.3,11.4,15
2024-05-18,34.4,69.7,15.8,16.1,20.0,21.6,11.4,31
2024-05-19,30.4,76.8,13.6,20.8,27.3,27.2,7.6,36
2024-05-20,33.3,66.2,15.3,10.0,20.8,23.6,8.9,15
2024-05-21,35.5,63.4,20.0,10.0,20.0,18.5,13.5,15
2024-05-22,29.7,60.8,14.0,10.0,20.0,21.8,11.8,15
2024-05-23,33.3,64.4,13.6,10.0,20.0,19.3,16.5,15
2024-05-24,33.5,68.2,14.6,18.9,20.0,20.5,13.8,27
2024-05-25,34.5,77.6,13.2,17.7,33.2,18.8,13.7,23
2024-05-26,30.5,66.4,16.5,11.9,45.4,19.6,6.1,17
2024-05-27,30.3,70.4,21.1,10.0,20.0,21.5,12.5,15
2024-05-28,34.0,69.5,17.2,10.0,20.0,15.4,10.0,15
2024-05-29,33.6,75.8,15.5,10.0,26.4,15.3,8.5,26
2024-05-30,33.5,82.8,15.5,15.1,20.0,13.4,10.7,31
2024-05-31,33.7,67.8,11.7,17.9,54.2,12.3,13.0,25
2024-06-01,31.6,68.3,19.1,10.0,20.0,14.2,11.6,18
2024-06-02,33.5,76.3,16.2,10.0,40.5,21.1,7.5,18
2024-06-03,33.6,74.7,16.0,10.0,20.0,15.8,12.3,22
2024-06-04,31.5,80.8,26.1,10.0,43.3,22.8,8.2,15
2024-06-05,36.7,74.8,17.5,10.0,27.6,20.4,10.8,22
2024-06-06,33.9,70.4,14.3,10.0,24.3,10.4,9.2,15
2024-06-07,30.5,75.4,15.4,14.6,26.9,23.5,9.4,17
2024-06-08,34.2,78.3,20.1,10.0,20.0,24.2,12.4,20
2024-06-09,30.9,77.1,17.0,15.7,43.1,15.2,7.0,32
2024-06-10,34.4,75.8,12.4,18.1,31.1,22.2,15.9,43
2024-06-11,35.2,78.8,19.5,10.0,20.0,15.9,4.6,15
2024-06-12,31.2,79.6,14.8,10.0,20.0,20.6,8.3,20
2024-06-13,34.7,80.9,22.4,10.0,20.0,13.8,11.2,15
2024-06-14,33.6,77.5,20.1,10.0,20.6,11.1,11.8,20
2024-06-15,34.4,73.6,15.5,10.0,20.0,18.2,9.7,15
2024-06-16,36.5,75.4,20.7,10.0,34.3,19.5,9.9,15
2024-06-17,32.1,81.0,17.1,10.0,20.0,18.1,11.3,15
2024-06-18,31.1,71.1,19.5,10.0,20.0,14.2,9.3,17
2024-06-19,30.8,77.2,18.4,10.0,20.0,18.1,14.2,15
2024-06-20,30.9,73.6,14.4,10.0,27.4,21.4,12.6,19
2024-06-21,32.3,76.0,15.0,10.0,20.0,19.8,12.6,21
2024-06-22,33.1,82.4,20.1,11.3,24.3,21.0,7.1,21
2024-06-23,32.9,77.2,16.0,10.0,20.0,16.7,9.8,24
